"Could not rebuild index for empty products array","Não foi possível reconstruir o índice para uma matriz de produtos vazia"
"We can't rebuild the index for an undefined product.","Não podemos reconstruir o índice para um produto indefinido."
"Amasty Storelocator Indexer","Indexador do Localizador de Lojas Amasty"
"Amasty Storelocator indexer by locations","Indexador do Localizador de Lojas Amasty por localizações"
"Amasty Storelocator indexer by products","Indexador do Localizador de Lojas Amasty por produtos"
